2025/08/07 22:09:25 main.go:42: 🚀 Server läuft auf Port 8080
2025/08/07 22:09:25 main.go:43: http://localhost:8080
2025/08/07 22:15:13 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:15:13 CEST | Dauer: 112.146µs | Statuscode: 200 | Antwortgröße: 1446 Bytes
2025/08/07 22:15:13 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:15:13 CEST | Methode: GET | URL: /assets/banner.png | RemoteAddr: [::1]:57624
2025/08/07 22:15:13 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:15:13 CEST | Methode: GET | URL: /assets/js/script.js | RemoteAddr: [::1]:57630
2025/08/07 22:15:13 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:15:13 CEST | Dauer: 95.327µs | Statuscode: 200 | Antwortgröße: 1162 Bytes
2025/08/07 22:15:13 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:15:13 CEST | Dauer: 2.129743ms | Statuscode: 200 | Antwortgröße: 3268666 Bytes
2025/08/07 22:15:13 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:15:13 CEST | Methode: GET | URL: /assets/js/utils.js | RemoteAddr: [::1]:57624
2025/08/07 22:15:13 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:15:13 CEST | Dauer: 65.628µs | Statuscode: 200 | Antwortgröße: 1736 Bytes
2025/08/07 22:15:13 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:15:13 CEST | Methode: GET | URL: /assets/js/calculator.js | RemoteAddr: [::1]:57630
2025/08/07 22:15:13 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:15:13 CEST | Dauer: 61.828µs | Statuscode: 200 | Antwortgröße: 1382 Bytes
2025/08/07 22:15:13 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:15:13 CEST | Methode: GET | URL: /assets/js/routes.js | RemoteAddr: [::1]:57608
2025/08/07 22:15:13 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:15:13 CEST | Dauer: 79.207µs | Statuscode: 200 | Antwortgröße: 173 Bytes
2025/08/07 22:15:13 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:15:13 CEST | Methode: GET | URL: /assets/js/pricing.js | RemoteAddr: [::1]:57646
2025/08/07 22:15:13 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:15:13 CEST | Dauer: 77.147µs | Statuscode: 200 | Antwortgröße: 725 Bytes
2025/08/07 22:15:13 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:15:13 CEST | Methode: GET | URL: /assets/js/user.js | RemoteAddr: [::1]:57654
2025/08/07 22:15:13 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:15:13 CEST | Dauer: 54.208µs | Statuscode: 200 | Antwortgröße: 1941 Bytes
2025/08/07 22:15:13 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:15:13 CEST | Methode: GET | URL: /app/routes | RemoteAddr: [::1]:57654
2025/08/07 22:15:13 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:15:13 CEST | Methode: GET | URL: /app/me | RemoteAddr: [::1]:57646
2025/08/07 22:15:13 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:15:13 CEST | Dauer: 36.659µs | Statuscode: 401 | Antwortgröße: 18 Bytes
2025/08/07 22:15:13 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:15:13 CEST | Dauer: 1.037923ms | Statuscode: 200 | Antwortgröße: 421 Bytes
2025/08/07 22:15:15 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:15:15 CEST | Methode: GET | URL: / | RemoteAddr: [::1]:57654
2025/08/07 22:15:15 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:15:15 CEST | Dauer: 118.556µs | Statuscode: 200 | Antwortgröße: 3757 Bytes
2025/08/07 22:15:15 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:15:15 CEST | Methode: GET | URL: /assets/style/style.css | RemoteAddr: [::1]:57654
2025/08/07 22:15:15 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:15:15 CEST | Dauer: 85.867µs | Statuscode: 200 | Antwortgröße: 1446 Bytes
2025/08/07 22:15:15 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:15:15 CEST | Methode: GET | URL: /assets/banner.png | RemoteAddr: [::1]:57646
2025/08/07 22:15:15 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:15:15 CEST | Methode: GET | URL: /assets/js/script.js | RemoteAddr: [::1]:57608
2025/08/07 22:15:15 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:15:15 CEST | Dauer: 82.407µs | Statuscode: 200 | Antwortgröße: 1162 Bytes
2025/08/07 22:15:15 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:15:15 CEST | Dauer: 1.813574ms | Statuscode: 200 | Antwortgröße: 3268666 Bytes
2025/08/07 22:15:15 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:15:15 CEST | Methode: GET | URL: /assets/js/utils.js | RemoteAddr: [::1]:57646
2025/08/07 22:15:15 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:15:15 CEST | Methode: GET | URL: /assets/js/routes.js | RemoteAddr: [::1]:57654
2025/08/07 22:15:15 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:15:15 CEST | Methode: GET | URL: /assets/js/pricing.js | RemoteAddr: [::1]:57630
2025/08/07 22:15:15 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:15:15 CEST | Dauer: 94.407µs | Statuscode: 200 | Antwortgröße: 1736 Bytes
2025/08/07 22:15:15 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:15:15 CEST | Dauer: 90.857µs | Statuscode: 200 | Antwortgröße: 725 Bytes
2025/08/07 22:15:15 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:15:15 CEST | Dauer: 60.168µs | Statuscode: 200 | Antwortgröße: 173 Bytes
2025/08/07 22:15:15 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:15:15 CEST | Methode: GET | URL: /assets/js/user.js | RemoteAddr: [::1]:57624
2025/08/07 22:15:15 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:15:15 CEST | Dauer: 105.027µs | Statuscode: 200 | Antwortgröße: 1941 Bytes
2025/08/07 22:15:15 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:15:15 CEST | Methode: GET | URL: /assets/js/calculator.js | RemoteAddr: [::1]:57608
2025/08/07 22:15:15 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:15:15 CEST | Dauer: 305.129µs | Statuscode: 200 | Antwortgröße: 1382 Bytes
2025/08/07 22:15:15 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:15:15 CEST | Methode: GET | URL: /app/routes | RemoteAddr: [::1]:57608
2025/08/07 22:15:15 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:15:15 CEST | Methode: GET | URL: /app/me | RemoteAddr: [::1]:57624
2025/08/07 22:15:15 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:15:15 CEST | Dauer: 40.758µs | Statuscode: 401 | Antwortgröße: 18 Bytes
2025/08/07 22:15:15 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:15:15 CEST | Dauer: 642.626µs | Statuscode: 200 | Antwortgröße: 421 Bytes
2025/08/07 22:15:15 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:15:15 CEST | Methode: GET | URL: /assets/favicon.ico | RemoteAddr: [::1]:57608
2025/08/07 22:15:15 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:15:15 CEST | Dauer: 152.485µs | Statuscode: 200 | Antwortgröße: 54750 Bytes
2025/08/07 22:17:24 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:17:24 CEST | Methode: GET | URL: /assets/style/style.css | RemoteAddr: [::1]:57608
2025/08/07 22:17:24 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:17:24 CEST | Dauer: 171.732µs | Statuscode: 200 | Antwortgröße: 1446 Bytes
